date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:33	445/445	---M--	200	added ('OK')	text/plain	date:Sat,%2011%20Apr%202020%2007:22:33%20GMT	https://rhuturajmirashi.wixsite.com/robots.txt		(from )
12:52:34	463651/463651	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Apr%202020%2007:22:33%20GMT	https://rhuturajmirashi.wixsite.com/inns/	C:/Users/Rhuturaj/Desktop/New%20folder/inn/rhuturajmirashi.wixsite.com/inns/index.html	(from )
12:52:34	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Apr%202020%2007:22:34%20GMT	https://rhuturajmirashi.wixsite.com/inns/robots.txt	C:/Users/Rhuturaj/Desktop/New%20folder/inn/rhuturajmirashi.wixsite.com/inns/robots.txt	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:34	303/303	---M--	200	added ('OK')	text/xml	etag:61b18389e103e5df48094fac31954b8e	https://rhuturajmirashi.wixsite.com/inns/sitemap.xml	C:/Users/Rhuturaj/Desktop/New%20folder/inn/rhuturajmirashi.wixsite.com/inns/sitemap.xml	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:35	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Apr%202020%2007:22:35%20GMT	https://rhuturajmirashi.wixsite.com/inns/feed.xml	C:/Users/Rhuturaj/Desktop/New%20folder/inn/rhuturajmirashi.wixsite.com/inns/feed.xml	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:35	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/Users/Rhuturaj/Desktop/New%20folder/inn/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:37	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:37	14805/14805	---MCZ	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:37	101536/101536	---MCZ	200	added ('OK')	application/javascript	etag:W/%2295f14e000844ca7a8ddc960ae3388b75%22	https://static.parastorage.com/services/wix-bolt/1.5611.0/bolt-main/app/bolt-custom-elements.min.js	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.parastorage.com/services/wix-bolt/1.5611.0/bolt-main/app/bolt-custom-elements.min.js	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:38	17493/17493	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:38	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:39	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:40	7261/7261	---M--	200	added ('OK')	image/png	etag:%223f952da718e1912a57dd7418deb6ba49%22	https://static.wixstatic.com/media/ea26fd_96d63cc5357d4e2cb2d55f39e7765baa~mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_96d63cc5357d4e2cb2d55f39e7765baa~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/ea26fd_96d63cc5357d4e2cb2d55f39e7765baa_mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_96d63cc5357d4e2cb2d55f39e7765baa_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:40	9468/9468	---M--	200	added ('OK')	image/png	etag:%22591b6207ad114c47102207a58a5bba36%22	https://static.wixstatic.com/media/5c515b_ba0992d4129b43a7b71b647af083cc0e~mv2.png/v1/fill/w_245,h_134,al_c,usm_0.66_1.00_0.01,blur_2/5c515b_ba0992d4129b43a7b71b647af083cc0e~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/5c515b_ba0992d4129b43a7b71b647af083cc0e_mv2.png/v1/fill/w_245,h_134,al_c,usm_0.66_1.00_0.01,blur_2/5c515b_ba0992d4129b43a7b71b647af083cc0e_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:41	8698/8698	---M--	200	added ('OK')	image/png	etag:%224ccb7fcfb6905fe5682ff41ca67ced83%22	https://static.wixstatic.com/media/ea26fd_303f69127999440aa8c36982feef25bb~mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_303f69127999440aa8c36982feef25bb~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/ea26fd_303f69127999440aa8c36982feef25bb_mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_303f69127999440aa8c36982feef25bb_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:44	186029/186029	---M--	200	added ('OK')	image/png	etag:%22855734af8dd773e767dc6b97a82f72a7%22	https://static.wixstatic.com/media/ea26fd_43c1bdf525834105906cb17a330e382d~mv2.png/v1/crop/x_0,y_0,w_386,h_535,blur_5/ea26fd_43c1bdf525834105906cb17a330e382d~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/ea26fd_43c1bdf525834105906cb17a330e382d_mv2.png/v1/crop/x_0,y_0,w_386,h_535,blur_5/ea26fd_43c1bdf525834105906cb17a330e382d_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:44	43044/43044	---M--	200	added ('OK')	image/png	etag:%227e88eedfaff9b8a5f16988c390c13d30%22	https://static.wixstatic.com/media/ea26fd_17f50fbd213f4de8bae3a87e27eee235~mv2.png/v1/fill/w_156,h_176,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_17f50fbd213f4de8bae3a87e27eee235~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/ea26fd_17f50fbd213f4de8bae3a87e27eee235_mv2.png/v1/fill/w_156,h_176,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_17f50fbd213f4de8bae3a87e27eee235_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:45	8628/8628	---M--	200	added ('OK')	image/png	etag:%22b59cc5323bae44e96059ff2df6a06c33%22	https://static.wixstatic.com/media/ea26fd_3a6906abbe7640968ceee9ca5df6c0c0~mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_3a6906abbe7640968ceee9ca5df6c0c0~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/ea26fd_3a6906abbe7640968ceee9ca5df6c0c0_mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_3a6906abbe7640968ceee9ca5df6c0c0_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:45	7413/7413	---M--	200	added ('OK')	image/png	etag:%229cdd352a1f9a9268a29a905acad3e472%22	https://static.wixstatic.com/media/ea26fd_ce2ef25e8ed54c018058e67b761cd562~mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_ce2ef25e8ed54c018058e67b761cd562~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/ea26fd_ce2ef25e8ed54c018058e67b761cd562_mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_ce2ef25e8ed54c018058e67b761cd562_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:46	5310/5310	---M--	200	added ('OK')	image/png	etag:%22eb2cecfd82ff9e9eb0fa4a19d2c37906%22	https://static.wixstatic.com/media/ea26fd_692e980e98ab416a86bbe8c504b0e025~mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_692e980e98ab416a86bbe8c504b0e025~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/ea26fd_692e980e98ab416a86bbe8c504b0e025_mv2.png/v1/fill/w_245,h_138,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_692e980e98ab416a86bbe8c504b0e025_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:47	5269/5269	---M--	200	added ('OK')	image/png	etag:%223975b654d63bc489dc85404f99710e90%22	http://static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
12:52:47	87459/87459	---M--	200	added ('OK')	image/png	etag:%22384aa43ccbb9a214c224f6bbe5d30c14%22	https://static.wixstatic.com/media/ea26fd_e22d18d0646141fa88c3bec3d585a650~mv2.png/v1/fill/w_230,h_272,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_e22d18d0646141fa88c3bec3d585a650~mv2.png	C:/Users/Rhuturaj/Desktop/New%20folder/inn/static.wixstatic.com/media/ea26fd_e22d18d0646141fa88c3bec3d585a650_mv2.png/v1/fill/w_230,h_272,al_c,usm_0.66_1.00_0.01,blur_2/ea26fd_e22d18d0646141fa88c3bec3d585a650_mv2.png	(from https://rhuturajmirashi.wixsite.com/inns/)
